Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
MMM,3M,Industrials,Industrial Conglomerates,Saint Paul Minnesota,1957-03-04,0000066740,1902
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AOS,A. O. Smith,Industrials,Building Products,Milwaukee Wisconsin,2017-07-26,0000091142,1916
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ABT,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago Illinois,1957-03-04,0000001800,1888
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888)
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ACN,Accenture,Information Technology,IT Consulting & Other Services,Dublin Ireland,2011-07-06,0001467373,1989
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ADBE,Adobe Inc.,Information Technology,Application Software,San Jose California,1997-05-05,0000796343,1982
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AMD,AMD,Information Technology,Semiconductors,Santa Clara California,2017-03-20,0000002488,1969
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Arlington Virginia,1998-10-02,0000874761,1981
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AFL,Aflac,Financials,Life & Health Insurance,Columbus Georgia,1999-05-28,0000004977,1955
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Santa Clara California,2000-06-05,0001090872,1999
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
APD,Air Products,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,1940
